cpu_usage,memory_usage,network_in,network_out,login_attempts,failed_logins,access_hour,ip_change,geo_change
48,25,289,260,1,0.0,12,0.0,0.0
38,35,296,265,1,0.0,11,0.0,0.0
24,48,243,216,1,0.0,9,0.0,0.0
17,22,275,233,1,0.0,14,0.0,0.0
30,39,184,157,2,0.0,10,0.0,0.0
48,55,138,143,2,0.0,16,0.0,0.0
28,38,199,272,2,0.0,13,0.0,0.0
32,45,132,259,1,0.0,15,0.0,0.0
20,22,200,272,2,0.0,10,0.0,0.0
20,38,122,160,1,0.0,16,0.0,0.0
33,39,109,146,2,0.0,10,0.0,0.0
45,51,168,248,1,0.0,12,0.0,0.0
49,26,199,179,1,0.0,9,0.0,0.0
33,52,133,217,1,0.0,13,0.0,0.0
12,59,279,263,2,0.0,17,0.0,0.0
31,58,237,246,2,0.0,9,0.0,0.0
11,37,246,119,2,0.0,17,0.0,0.0
33,59,285,284,2,0.0,16,0.0,0.0
39,20,195,245,1,0.0,14,0.0,0.0
47,30,100,146,2,0.0,15,0.0,0.0
11,47,168,148,2,0.0,11,0.0,0.0
30,44,103,113,1,0.0,9,0.0,0.0
42,42,115,242,1,0.0,13,0.0,0.0
21,50,123,258,1,0.0,10,0.0,0.0
31,49,179,100,2,0.0,13,0.0,0.0
34,54,101,216,1,0.0,16,0.0,0.0
36,26,227,153,1,0.0,17,0.0,0.0
37,35,259,217,1,0.0,10,0.0,0.0
25,45,183,102,2,0.0,11,0.0,0.0
24,21,251,243,1,0.0,11,0.0,0.0
12,20,239,284,2,0.0,9,0.0,0.0
46,31,277,111,2,0.0,16,0.0,0.0
16,24,262,173,1,0.0,14,0.0,0.0
30,56,223,115,1,0.0,16,0.0,0.0
18,51,132,299,2,0.0,17,0.0,0.0
48,28,260,201,1,0.0,13,0.0,0.0
27,54,288,251,1,0.0,11,0.0,0.0
13,38,278,255,2,0.0,13,0.0,0.0
34,35,270,216,2,0.0,13,0.0,0.0
23,22,200,107,1,0.0,13,0.0,0.0
18,39,111,221,2,0.0,11,0.0,0.0
35,43,166,191,1,0.0,12,0.0,0.0
11,52,164,263,1,0.0,17,0.0,0.0
29,43,260,189,1,0.0,17,0.0,0.0
37,30,267,235,2,0.0,10,0.0,0.0
16,27,173,285,1,0.0,16,0.0,0.0
17,55,142,159,1,0.0,16,0.0,0.0
44,57,143,277,1,0.0,15,0.0,0.0
23,59,128,127,2,0.0,16,0.0,0.0
26,39,240,200,2,0.0,11,0.0,0.0
45,54,111,140,2,0.0,14,0.0,0.0
49,44,194,291,2,0.0,9,0.0,0.0
13,54,145,254,2,0.0,15,0.0,0.0
11,44,229,290,1,0.0,9,0.0,0.0
15,48,134,244,2,0.0,17,0.0,0.0
13,37,180,260,2,0.0,9,0.0,0.0
38,37,189,256,2,0.0,9,0.0,0.0
27,21,107,240,1,0.0,15,0.0,0.0
35,54,192,145,2,0.0,10,0.0,0.0
43,35,253,134,2,0.0,13,0.0,0.0
19,55,189,233,1,0.0,16,0.0,0.0
45,52,261,181,2,0.0,16,0.0,0.0
23,23,214,214,1,0.0,11,0.0,0.0
40,52,204,296,1,0.0,15,0.0,0.0
24,33,234,146,1,0.0,11,0.0,0.0
17,40,295,252,1,0.0,14,0.0,0.0
23,39,157,293,1,0.0,14,0.0,0.0
32,27,213,109,2,0.0,11,0.0,0.0
49,26,174,155,1,0.0,15,0.0,0.0
30,22,256,129,1,0.0,11,0.0,0.0
25,36,219,208,2,0.0,16,0.0,0.0
27,52,263,104,1,0.0,12,0.0,0.0
33,31,120,218,2,0.0,9,0.0,0.0
35,41,263,132,2,0.0,12,0.0,0.0
34,41,237,217,2,0.0,15,0.0,0.0
38,49,200,164,1,0.0,12,0.0,0.0
24,57,251,245,1,0.0,14,0.0,0.0
10,57,291,276,1,0.0,17,0.0,0.0
34,27,276,110,2,0.0,9,0.0,0.0
16,46,198,184,1,0.0,13,0.0,0.0
18,46,135,125,1,0.0,15,0.0,0.0
33,53,195,162,1,0.0,9,0.0,0.0
